,,,,"1=Present, 0=Absent",,,,,,,,,,
Waypoint,GPS (S),GPS (E),% Cover Algae,Presence/Absence Forams,Filimentous/Film Algae,Turf Macroalgae,Fleshy Algae,Calcareous Algae,Live Coral ,Bare Limestone,Coral Rubble,Sediment,Total ,Comment
2,-23.498882,152.092297,85,1,85,,,,,5,,10,100,zone 5-2
3,-23.500476,152.091281,85,1,5,80,,,,10,,5,100,zone 5-3
4,-23.500152,152.091837,65,1,60,5,,,,,30,5,100,zone 5-4
5,-23.499853,152.092131,40,0,40,,,,,10,50,,100,zone 5-5
7,-23.498092,152.091022,35,1,30,5,,,,,10,55,100,zone 5-7
8,-23.492845,152.089544,60,1,50,10,,,,,30,10,100,zone 5-8
9,-23.4928,152.089683,60,1,20,40,,,,,5,35,100,zone 5-9
11,-23.492266,152.089092,75,1,10,65,,,,,20,5,100,zone 4-1
13,-23.50031,152.061933,45,1,5,40,,,,,,55,100,zone 4-3
14,-23.501572,152.060249,85,1,5,80,,,,,15,,100,zone 4-4
15,-23.501834,152.059828,80,1,0,80,,,,,5,15,100,zone 4-5
16,-23.502172,152.059382,85,1,5,80,,,,,5,10,100,zone 4-6
17,-23.502886,152.058394,65,1,5,60,,,,,35,,100,zone 4-7
18,-23.503228,152.057981,80,1,,60,20,,,,,20,100,zone 4-8
19,-23.503404,152.057683,90,1,80,10,,,,,10,,100,zone 4-9
20,-23.503565,152.05743,95,1,95,,,,,,5,,100,zone 4-10
24,-23.503453,152.055882,80,1,,80,,,,,15,5,100,
25,-23.504072,152.055577,95,1,,95,,,,,,5,100,
26,-23.498088,152.058877,0,0,,,,,,,95,5,100,
27,-23.498258,152.058679,95,1,,95,,,,,,5,100,
28,-23.498524,152.058468,80,1,,80,,,,,,20,100,
29,-23.49876,152.058284,75,1,,75,,,,,15,10,100,
30,-23.49899,152.057584,80,1,30,50,,,,,,20,100,
31,-23.499227,152.057354,10,0,10,,,,,,90,,100,
32,-23.500623,152.06162,70,1,35,35,,,,,30,,100,
33,-23.50082,152.061394,95,1,,90,5,,,,,5,100,
34,-23.500972,152.061236,100,1,100,,,,,,,,100,
35,-23.501174,152.060968,95,1,40,40,15,,,,5,,100,
36,-23.501554,152.060092,90,1,40,40,10,,,,10,,100,
37,-23.501603,152.059901,90,1,40,40,10,,,,10,,100,
38,-23.501803,152.059511,100,1,90,,10,,,,,,100,
39,-23.501818,152.058972,100,1,100,,,,,,,,100,
40,-23.501912,152.058678,100,1,70,,30,,,,,,100,
41,-23.501791,152.058173,100,0,100,,,,,,,,100,
42,-23.501705,152.057793,100,1,90,10,,,,,,,100,
43,-23.501624,152.057526,90,1,90,,,,,,10,,100,
44,-23.503456,152.057351,100,1,50,50,,,,,,,100,
45,-23.505495,152.057678,50,1,,50,,,,,50,,100,
46,-23.505905,152.060026,100,1,80,20,,,,,,,100,
47,-23.505659,152.062189,80,1,80,,,,,20,,,100,
48,-23.503434,152.059867,80,1,80,,,,,,20,,100,
49,-23.500189,152.062122,60,1,60,,,,,,30,10,100,
50,-23.500174,152.061765,90,1,80,10,,,,,,10,100,
51,-23.499052,152.063264,100,1,80,20,,,,,,,100,
52,-23.494088,152.068068,80,1,20,60,,,,,,20,100,
53,-23.494002,152.067814,100,1,50,50,,,,,,,100,
54,-23.49236,152.066664,90,1,45,45,,,,,,10,100,
55,-23.493806,152.065814,90,1,90,,,,,,,10,100,
56,-23.493774,152.066122,90,1,45,45,,,,,,10,100,
57,-23.494591,152.068231,90,1,70,20,,,,,,10,100,
58,-23.494355,152.068006,80,1,70,10,,,,,20,,100,
59,-23.494195,152.068001,90,1,45,45,,,,,,10,100,
60,-23.49586,152.07396,0,0,,,,,,,100,,100,
61,-23.495803,152.07386,80,1,,80,,,,,,20,100,
62,-23.495713,152.073716,80,1,40,40,,,,,,20,100,
63,-23.49718,152.07744,100,1,50,50,,,,,,,100,
65,-23.497683,152.080747,90,1,45,45,,,,,10,,100,
66,-23.49931,152.080285,100,1,50,50,,,,,,,100,
67,-23.501683,152.082531,100,1,,100,,,,,,,100,
68,-23.494595,152.091165,100,1,80,20,,,,,,,100,
69,-23.494697,152.091008,90,1,40,50,,,,,,10,100,
70,-23.494578,152.090749,100,1,10,50,40,,,,,,100,
71,-23.494646,152.090475,90,1,90,,,,,,10,,100,
72,-23.493434,152.089971,90,1,45,45,,,,,,10,100,
73,-23.491415,152.086584,80,1,,80,,,,,10,10,100,
74,-23.491396,152.086377,90,1,40,,50,,,,,10,100,
75,-23.491429,152.085739,60,1,,30,30,,,,30,10,100,
76,-23.489738,152.086003,70,1,55,10,5,,,,20,10,100,
77,-23.48835,152.085917,90,1,55,15,10,10,,,10,,100,
78,-23.487662,152.085594,0,0,,,,,,,100,,100,
79,-23.486772,152.083648,90,1,45,45,,,,,,10,100,
80,-23.485996,152.082323,80,1,,80,,,,,20,,100,
81,-23.487034,152.079653,20,1,5,15,,,,,80,,100,
82,-23.48682,152.079097,60,1,10,40,10,,,,40,,100,
83,-23.486853,152.078052,100,1,100,,,,,,,,100,
84,-23.49014,152.077304,100,1,10,90,,,,,,,100,
85,-23.490158,152.077108,100,1,50,50,,,,,,,100,
86,-23.492955,152.082024,30,0,,10,20,,,70,,,100,
87,-23.492733,152.082013,100,1,100,,,,,,,,100,
88,0,0,100,1,50,50,,,,,,,100,
89,-23.508924,152.08367,100,1,50,50,,,,,,,100,
90,-23.508243,152.085302,0,0,,,,,,,100,,100,
91,-23.50746,152.086828,90,1,,80,,10,,,10,,100,
92,-23.507171,152.087352,85,1,45,40,,,,,5,10,100,
93,-23.506906,152.087852,100,1,50,50,,,,,,,100,
94,-23.504075,152.06579,100,1,50,50,,,,,,,100,
95,-23.503071,152.050673,100,1,50,50,,,,,,,100,
96,-23.503899,152.049179,100,1,100,,,,,,,,100,
97,-23.505729,152.048255,100,1,50,50,,,,,,,100,
98,-23.506976,152.047836,90,1,45,45,,,,,10,,100,
99,-23.506415,152.046637,100,1,50,50,,,,,,,100,
100,-23.505067,152.046215,100,1,100,,,,,,,,100,
101,-23.504477,152.045801,100,1,80,,20,,,,,,100,
102,-23.502469,152.045616,80,1,60,,20,,,,20,,100,
103,-23.501304,152.045612,0,0,,,,,,,100,,100,
104,-23.50007,152.046266,0,0,,,,,,,100,,100,
105,-23.496548,152.045241,85,1,65,,20,,,,10,5,100,
106,-23.496793,152.045219,80,0,80,,,,,20,,,100,
107,-23.497539,152.044894,70,0,70,,,,,20,10,,100,
108,-23.496183,152.044523,80,1,40,40,,,,10,10,,100,
109,-23.494868,152.044666,85,1,70,15,,,,,,15,100,
110,-23.494234,152.045884,50,1,50,,,,,,,50,100,
111,-23.493142,152.046411,0,0,,,,,,,100,,100,
112,-23.492499,152.047477,0,0,,,,,,,100,,100,
113,-23.49244,152.047927,100,1,80,20,,,,,,,100,
114,-23.491431,152.048965,80,1,80,,,,,,20,,100,
115,-23.491225,152.051012,100,1,50,50,,,,,,,100,
116,-23.490521,152.051879,100,1,50,50,,,,,,,100,
117,-23.493033,152.050586,70,0,70,,,,,,30,,100,
118,-23.493574,152.050837,95,1,15,80,,,,,5,,100,
119,-23.494107,152.051159,100,1,50,50,,,,,,,100,
120,-23.493951,152.05224,90,1,90,,,,,,10,,100,
121,-23.494912,152.051216,100,0,100,,,,,,,,100,
141,-23.491395,152.063124,100,1,50,50,,,,,,,100,
142,-23.48845,152.065606,100,1,50,50,,,,,,,100,
143,-23.489103,152.06744,100,0,100,,,,,,,,100,
144,-23.489188,152.069943,60,1,,60,,,,30,,10,100,
145,-23.487772,152.07246,90,1,45,45,,,,,,10,100,
146,-23.489832,152.07459,100,1,20,80,,,,,,,100,
147,-23.490011,152.075354,100,1,90,10,,,,,,,100,
148,-23.490065,152.076273,80,1,,80,,,,,20,,100,
149,-23.490405,152.0767,90,1,30,60,,,,10,,,100,
150,-23.491274,152.077579,100,0,100,,,,,,,,100,
151,-23.491744,152.078016,100,1,50,50,,,,,,,100,
152,-23.491903,152.07805,100,1,40,40,20,,,,,,100,
153,-23.493264,152.078215,80,1,,80,,,,,10,10,100,
154,-23.492927,152.07893,70,1,,70,,,,,30,,100,
155,-23.494507,152.079694,100,1,50,50,,,,,,,100,
156,0,0,70,0,70,,,,,30,,,100,
157,-23.4966,152.079512,0,0,,,,,,60,40,,100,
158,-23.4971,152.07833,100,0,100,,,,,,,,100,
159,-23.497,152.07842,50,1,10,40,,,,10,40,,100,
160,-23.4971,152.07821,80,1,,80,,,,,,20,100,
161,-23.4984,152.078861,90,1,,80,10,,,,,10,100,
162,-23.498778,152.079046,90,1,,90,,,,,,10,100,
163,-23.501749,152.080966,100,1,,100,,,,,,,100,
164,-23.501522,152.080854,70,1,,70,,,,10,20,,100,
165,-23.503337,152.082133,100,1,20,,80,,,,,,100,
166,-23.503994,152.081958,100,1,80,,20,,,,,,100,
167,-23.504697,152.081952,100,0,100,,,,,,,,100,
168,-23.504651,152.081867,100,0,100,,,,,,,,100,
169,-23.505447,152.081634,100,1,100,,,,,,,,100,
170,-23.506398,152.080025,100,1,80,20,,,,,,,100,
171,-23.506802,152.079325,100,0,100,,,,,,,,100,
172,-23.506392,152.079044,100,1,,50,50,,,,,,100,
173,-23.506113,152.078408,100,1,50,50,,,,,,,100,
174,-23.506032,152.07811,100,1,80,20,,,,,,,100,
175,-23.505514,152.077378,100,1,50,50,,,,,,,100,
176,-23.506309,152.077405,100,1,,100,,,,,,,100,
177,-23.506592,152.077374,70,1,,70,,,,,,30,100,
178,-23.505861,152.077558,100,1,70,30,,,,,,,100,
179,-23.504755,152.077577,100,1,50,50,,,,,,,100,
180,-23.503795,152.077946,100,1,50,50,,,,,,,100,
181,-23.502955,152.080343,100,1,50,50,,,,,,,100,
182,-23.50311,152.08292,70,1,,70,,,,,,30,100,
183,-23.50292,152.0831,100,0,,,100,,,,,,100,
184,-23.50301,152.08282,60,1,,60,,,,40,,,100,
185,-23.486845,152.06207,100,1,50,,50,,,,,,100,
186,-23.486858,152.062262,50,0,,50,,,,,50,,100,
187,-23.486035,152.065261,50,0,,50,,,,,50,,100,
188,-23.486943,152.066257,100,0,50,,50,,,,,,100,
189,-23.486561,152.067432,100,0,,,100,,,,,,100,
190,-23.485102,152.069177,90,0,40,10,40,,,10,,,100,
191,-23.485307,152.071243,80,0,,,80,,,,20,,100,
192,-23.484308,152.075224,100,1,50,50,,,,,,,100,
193,-23.482748,152.076845,70,1,,70,,,,,10,20,100,
194,-23.481967,152.077584,75,1,5,70,,,,5,,20,100,
195,-23.482137,152.07943,100,1,,100,,,,,,,100,
196,-23.481647,152.082114,100,1,,100,,,,,,,100,
197,-23.482735,152.087747,90,1,45,45,,,,,,10,100,
198,-23.48496,152.088765,90,1,45,45,,,,,,10,100,
199,-23.487359,152.091187,100,1,,100,,,,,,,100,
200,-23.490471,152.093182,100,1,,100,,,,,,,100,
201,-23.493921,152.096306,100,1,,50,50,,,,,,100,
202,-23.498028,152.096595,100,1,,50,50,,,,,,100,
203,-23.50151,152.098414,80,1,,40,40,,,,,20,100,
204,-23.504853,152.098184,60,1,,50,10,,,30,,10,100,
205,-23.508434,152.098235,90,1,,70,20,,,10,,,100,
206,-23.511525,152.096411,80,1,,80,,,,20,,,100,
207,-23.512277,152.092967,80,1,,80,,,,,20,,100,
208,-23.511952,152.090928,100,1,,90,10,,,,,,100,
209,-23.511691,152.089375,60,1,,60,,,,,30,10,100,
210,-23.511042,152.086958,60,1,,60,,,,,,40,100,
211,-23.511663,152.081459,90,1,,60,30,,,,,10,100,
212,-23.511781,152.077405,90,1,,80,10,,,,,10,100,
213,-23.511419,152.073912,90,1,30,50,10,,,,,10,100,
214,-23.510391,152.07079,90,1,20,70,,,,,,10,100,
215,-23.509639,152.064218,80,1,,80,,,,,10,10,100,
216,-23.508899,152.060404,60,1,60,,,,,,20,20,100,
217,-23.50815,152.053681,100,1,50,50,,,,,,,100,
218,-23.506774,152.052994,100,0,100,,,,,,,,100,
219,-23.505766,152.051814,100,0,90,,10,,,,,,100,
220,-23.506546,152.044572,80,1,10,50,20,,,10,10,,100,
221,-23.505491,152.041495,100,1,40,40,20,,,,,,100,
222,-23.505613,152.040689,80,0,50,10,20,,10,,10,,100,
223,-23.504408,152.039064,60,1,20,40,,,10,10,20,,100,
224,-23.500101,152.041365,100,1,,80,10,10,,,,,100,
225,-23.499985,152.043138,100,1,10,70,20,,,,,,100,
226,-23.490018,152.053123,100,1,70,20,10,,,,,,100,
227,-23.489011,152.054981,100,1,80,20,,,,,,,100,
228,-23.489506,152.057099,90,1,20,70,,,,,,10,100,
229,-23.488613,152.05868,60,1,,60,,,,,,40,100,
230,-23.488203,152.060406,100,1,50,40,10,,,,,,100,
231,-23.488505,152.061541,100,1,70,20,10,,,,,,100,
232,-23.486774,152.063495,80,1,,80,,,,,,20,100,
233,-23.486791,152.066558,90,1,90,,,,,10,,,100,
234,-23.485074,152.068609,80,1,,80,,,,,20,,100,
235,-23.485234,152.069895,50,1,,50,,,,50,,,100,
236,-23.483894,152.071377,100,1,,80,20,,,,,,100,
237,-23.493277,152.072938,70,1,,10,60,,,,,30,100,
238,-23.493484,152.072417,100,1,,80,20,,,,,,100,
239,-23.494856,152.071862,10,0,,10,,,,90,,,100,
240,-23.495601,152.071794,100,1,45,45,10,,,,,,100,
241,-23.496265,152.070143,35,1,20,10,5,,,30,,35,100,
242,-23.496924,152.069416,0,0,,,,,,100,,,100,
243,-23.497387,152.06908,20,0,,,20,,,80,,,100,
244,-23.497299,152.069209,60,0,,,60,,,40,,,100,
245,-23.497573,152.068267,90,1,,50,40,,,10,,,100,
246,-23.498132,152.067143,60,1,,40,20,,,20,20,,100,
247,-23.497272,152.065771,30,0,,10,20,,,70,,,100,
248,-23.496758,152.065045,50,1,,20,30,,,50,,,100,
249,-23.495722,152.06453,60,1,30,30,,,,30,10,,100,
250,-23.497232,152.064011,50,1,,50,,,,,40,10,100,
251,-23.498002,152.064091,50,0,40,,10,,5,45,,,100,
252,-23.4964,152.063568,55,1,,50,5,,,15,30,,100,
253,-23.495339,152.065008,60,0,10,30,20,,,40,,,100,
254,-23.497844,152.066503,80,0,40,40,,,5,15,,,100,
255,-23.498386,152.066788,80,1,,80,,,,,,20,100,
256,-23.498606,152.066077,100,1,20,70,10,,,,,,100,
257,-23.498063,152.064463,90,1,30,30,30,,,,,10,100,
258,-23.496775,152.071381,60,0,40,20,,,,,40,,100,
259,-23.496164,152.071394,10,0,,10,,,,,90,,100,
260,-23.496808,152.072989,5,0,,,5,,50,45,,,100,
261,-23.498049,152.072387,60,0,,,60,,,40,,,100,
262,-23.498372,152.072019,80,0,,30,50,,,,,20,100,
263,-23.500246,152.071706,80,0,,,80,,,20,,,100,
264,-23.499281,152.074801,0,0,,,,,,,100,,100,
265,-23.500895,152.074771,60,0,,,60,,,40,,,100,
266,-23.503024,152.073984,15,0,,5,10,,,85,,,100,
267,-23.504372,152.073726,60,0,,60,,,,40,,,100,
268,-23.504424,152.073306,90,1,,90,,,10,,,,100,
269,-23.504377,152.072914,90,1,,80,10,,,,,10,100,
270,-23.504263,152.072423,70,1,,60,10,,,,30,,100,
271,-23.504134,152.071741,80,0,80,,,,,20,,,100,
272,-23.503578,152.071804,30,1,,20,10,,,,70,,100,
273,-23.503264,152.072375,0,0,,,,,,,100,,100,
274,-23.49504,152.084225,100,0,90,,10,,,,,,100,
275,-23.495666,152.085845,30,0,,,30,,,70,,,100,
276,-23.496951,152.085033,20,0,,,20,,,,80,,100,
277,-23.497191,152.088159,90,1,,70,20,,,,,10,100,
278,-23.498608,152.089929,50,0,20,,30,,,30,20,,100,
279,-23.499372,152.089273,40,0,10,,30,,,60,,,100,
280,-23.500575,152.090116,80,0,20,40,20,,,20,,,100,
281,-23.502535,152.089685,100,1,,80,20,,,,,,100,
282,-23.503239,152.090114,80,0,,80,,,,,20,,100,
283,-23.503287,152.090686,30,0,30,,,,40,30,,,100,
284,-23.50368,152.091469,55,0,45,,10,,,45,,,100,
285,-23.503872,152.092557,95,0,,5,90,,,5,,,100,
286,-23.504605,152.092442,50,0,,10,40,,10,,40,,100,
287,-23.505553,152.091862,80,0,,60,20,,,,20,,100,
288,-23.505375,152.091382,80,0,,40,40,,,20,,,100,
289,-23.506204,152.088727,100,1,50,50,,,,,,,100,
290,-23.507691,152.089863,90,1,,80,10,,,10,,,100,
291,-23.508833,152.090749,100,0,,90,10,,,,,,100,
292,-23.510776,152.085543,80,1,,80,,,,20,,,100,
293,-23.511118,152.085601,80,0,,80,,,,10,10,,100,
294,-23.512628,152.087393,70,0,40,30,,,,30,,,100,
295,-23.512386,152.086412,70,0,20,50,,,,30,,,100,
296,-23.510731,152.084255,75,0,5,70,,,,10,15,,100,
297,-23.509705,152.082171,60,0,,60,,,,20,20,,100,
298,-23.508859,152.082788,80,0,,80,,,,20,,,100,
299,-23.506231,152.083811,40,0,40,,,,,40,20,,100,
300,-23.507626,152.081916,90,0,,90,,,,,,10,100,
301,-23.507981,152.07893,95,0,,85,10,,,,5,,100,
302,-23.509136,152.076103,70,0,,50,20,,,,,30,100,
303,-23.509272,152.073759,45,0,40,,5,,,40,15,,100,
304,-23.509794,152.0725,100,0,80,,20,,,,,,100,
305,-23.50798,152.070997,100,1,,80,20,,,,,,100,
306,-23.505128,152.071607,50,0,50,,,,50,,,,100,
307,-23.50375,152.069464,80,1,,80,,,,,,20,100,
308,-23.501475,152.068215,75,0,25,,50,,,25,,,100,
309,-23.501412,152.066563,80,1,80,,,,,,20,,100,zone 4-11
310,-23.501568,152.066085,50,1,50,,,,,20,30,,100,zone 4-12
311,-23.501819,152.065693,65,1,60,5,,,,,30,5,100,zone 4-13
312,-23.502559,152.064928,60,1,,60,,,,,40,,100,zone 4-14
313,-23.503223,152.064769,70,1,,70,,,,10,20,,100,zone 4-15
314,-23.503149,152.062939,80,1,,80,,,,,20,,100,zone 3-1
315,-23.503612,152.062917,60,1,,50,10,,,,40,,100,zone 3-2
316,-23.504919,152.063682,75,1,75,,,,,,5,20,100,zone 3-3
317,-23.506193,152.065112,90,1,10,80,,,,,10,,100,zone 3-4
318,-23.508752,152.066481,95,1,,45,50,,,,5,,100,zone 3-5
319,-23.507934,152.066965,60,1,,60,,,,40,,,100,zone 3-6
320,-23.506641,152.059761,80,1,80,,,,,,20,,100,zone 3-7
321,-23.501667,152.050555,95,1,,95,,,,,5,,100,zone 3-8
322,-23.50495,152.054527,100,1,,100,,,,,,,100,zone 3-9
323,-23.501499,152.047427,75,1,,75,,,,,15,10,100,zone 3-10
324,-23.500307,152.049703,100,1,,60,40,,,,,,100,zone 2-1
325,-23.495961,152.046892,80,1,,70,10,,,,20,,100,zone 2-2
326,-23.495036,152.047351,80,1,,75,5,,,,20,,100,zone 2-3
327,-23.501677,152.042812,95,1,,90,5,,,,5,,100,zone 2-4
328,-23.503659,152.042633,90,1,,80,10,,,,,10,100,zone 2-5
329,-23.502613,152.075723,80,1,,80,,,,10,10,,100,zone 2-6
330,-23.501834,152.076951,90,1,,70,20,,,10,,,100,zone 2-7
331,-23.501152,152.077776,95,1,,95,,,,,5,,100,zone 2-8
332,-23.500488,152.078785,80,1,,80,,,,,20,,100,zone 2-9
333,-23.495888,152.082129,90,1,,70,20,,,,10,,100,zone 2-10
334,-23.496996,152.085657,80,1,,80,,,,,5,15,100,zone 1-1
335,-23.499445,152.087155,100,1,,80,20,,,,,,100,zone 1-2
336,-23.501416,152.088215,80,1,,70,10,,,,20,,100,zone 1-3
337,-23.503622,152.088054,80,1,,60,20,,5,5,10,,100,zone 1-4
338,-23.505033,152.088216,45,1,,45,,,20,,30,5,100,zone 1-5
339,-23.505771,152.087529,80,1,,65,15,,,,20,,100,zone 1-6
